Vak,Omschrijving,Onderwijsniveau,Onderwijsgraad,Thema
public relations,"Onthaal, voorlichtingsactiviteiten, marktonderzoeken, communicatie ",Secundair onderwijs,Secundair 3de graad,Media en communicatie
publiciteitstekenen,"Reclame, grafische publiciteitstechnieken, grafische programma's
",Secundair onderwijs,"Secundair 3de graad,Secundair 2de graad","Media en communicatie,Toegepaste kunsten"
recht,"Wetten, decreten, rechtbank, justitie",Secundair onderwijs,Secundair 3de graad,Recht
restauranttechnieken,"Serveertechnieken, kooktechnieken, beheer en organisatie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Voeding en horeca
restauratie,"Restauratietechnieken voor glas, keramiek, hout, schilderkunst, muurschilderkunst, metaal, steen, visuele media, textiel of papier.",Secundair onderwijs,Secundair 3de graad,"Beeldende kunsten,Constructie en productie"
Rijn- en binnenvaart,"Technieken om binnenschipper te worden, op drukke verkeersaders varen, het schip en de motoren te onderhouden en op kompas varen.",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Landschap en reliëf,Verkeer en mobiliteit"
ruwbouw,"bouwmaterialen en technieken, constructies, 
grond-, funderings- en rioleringswerken uitvoeren, spouwmuren, gevels en muuropeningen metselen, stutten plaatsen, beton storten en ontkisten, op stellingen werken, betonherstellingen en alle vormen van gevelwerken uitvoeren.",Secundair onderwijs,Secundair 3de graad,Constructie en productie
sanitair,Loodgieter en installateur van centrale verwarming en sanitair,Secundair onderwijs,Secundair 3de graad,Constructie en productie
scheepswerktuigkunde,"Scheepswerktuigen monteren, onderhouden, programmeren",Secundair onderwijs,Secundair 3de graad,Constructie en productie
scheepvaart,Technieken om schipper te worden (zie Rijn- en binnenvaart),Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Verkeer en mobiliteit
schilderen en decoratie,"Behangen, schilderen, wand- en vloerbekleding",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
schoonheidsverzorging,"Schoonheidsverzorging, verzorging van gelaat, handen, voeten en lichaam, aspecten van haarverzorging en make-up",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Lichamelijke verzorging
schoonmaak,"Poetsen, schoonmaken, huishouden",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Lichamelijke verzorging
schrijnwerkerij,"Schrijnwerker, maken en plaatsen van buitenschrijnwerk (ramen, deuren, poorten, enz.) voor nieuwbouw en renovatie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Constructie en productie
slagerij,"Slagertechnieken, vleesbewerking, samenstelling, bewaring",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Voeding en horeca
steen- en marmerbewerking,Steen- en marmerbewerkingstechnieken,Secundair onderwijs,Secundair 3de graad,"Toegepaste kunsten,Constructie en productie"
steigerbouw,"Monteren en demonteren van allerlei soorten stellingen, podia, tribunes, trappenhuizen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Constructie en productie
tandtechnieken,"Alles met tanden en tandonderhoud, tandprothesen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Lichamelijke verzorging
techniek,"Beginselen van elektriciteit, mobiliteit, constructie, ontwerpen, monteren
",Secundair onderwijs,Secundair 1ste graad,Constructie en productie
technologische opvoeding,"Beginselen van elektriciteit, mobiliteit, constructie, ontwerpen, monteren",Secundair onderwijs,Secundair 1ste graad,Constructie en productie
textielproductie,"Maken van textielproducten in vezelvoorbereiding, de spinnerij, de voorbereiding weverij, de weverij, de tuftafdeling of de eindafwerking",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
textielverzorging,"Wastechnieken, bewaring en verzorging van textiel",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
toegepaste biochemie,"Biologie en chemie van het leven, de organismen en hun cellen, de moleculaire architectuur en functie van de cel, de informatieoverdracht tussen cellen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Biologie,Chemie"
toegepaste biologie,Praktijkvoorbeelden van biologie,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Biologie
toegepaste chemie,Praktijkvoorbeelden van chemie,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Chemie
toegepaste economie,Praktijkvoorbeelden van economie,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Economie,Omgaan met geld,Bedrijfsbeheer,Recht"
toegepaste fysica,Praktijkvoorbeelden van fysica,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Fysica
toegepaste informatica,Praktijkvoorbeelden van informatica,Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Digitale vaardigheden en informatica
toegepaste natuurwetenschappen,Praktijkvoorbeelden van natuurwetenschappen,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Biologie,Fysica,Chemie"
toegepaste psychologie,Praktijkvoorbeelden van psychologie,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Psychologie,Media en communicatie,Opvoeding en ontwikkeling"
toerisme,"Kenmerken toerisme en de vrije tijd, reis- en koopgedrag van een toerist ontleden, reisdocumenten, contracten en betaalmiddelen.",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Toerisme
tuinbouw,Agrarische technieken rond tuinbouw,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Milieu en ecologie
uurwerkmaken,Maken van uurwerken,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Constructie en productie
veiligheidstechnieken,"Technieken om bewakingsagent, gemachtigd opzichter, gemeenschapswacht, veldwachter, voetbalsteward,... te worden",Secundair onderwijs,Secundair 3de graad,"Gezondheid en gezondheidszorg,Recht,Media en communicatie"
verkoop,"Verkoopstechnieken, administratie, communicatie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Economie,Media en communicatie,Digitale vaardigheden en informatica"
verpleegkunde,"Bieden van lichamelijke hulp en psychische en sociale ondersteuning aan zieken, gewonden, bejaarden of personen met een handicap",Secundair onderwijs,Secundair 3de graad,Gezondheid en gezondheidszorg
verzorging,"Alles rond de kinder-, bejaarden- en thuiszorg",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Gezondheid en gezondheidszorg
voeding,"Voeding, ambachtelijke bereidingen en industriële productie van levensmiddelen",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Voeding en horeca
wegenwerken,Kennis en technieken rond wegenwerken,Secundair onderwijs,Secundair 3de graad,Verkeer en mobiliteit
zakelijke communicatie,"Communicatie, reclame, online media",Secundair onderwijs,Secundair 3de graad,"Media en communicatie,Nederlandse taal"
zeemanschap,"Opleiding om een matroos te worden
",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Verkeer en mobiliteit
