Vak,Omschrijving,Onderwijsniveau,Onderwijsgraad,Thema
biologie,"Cel, plant, mens, diersoorten, biotopen, stelsels: voortplanting, ademhaling, vertering, ziektebeelden ...",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Biologie,Milieu en ecologie,Gezondheid en gezondheidszorg"
burgerschap,"Identiteit, diversiteit, dialoog, mensenrechten, plichten, rechtstaat, democratie, politiek, stemrecht, participatie",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Identiteit,Politiek en overheid,Participatie,Recht,Normen en waarden,Filosofie"
chemie,"Materie, moleculen, atoombouw, mengels, massa, reacties, verbindingen, geleiders",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Chemie
communicatiewetenschappen,"(Sociale) media, mediakritiek, beeldvorming, framing, mediatools, massacommunicatie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Media en communicatie,Mediawijsheid"
cultuurbeschouwing,"Steiner - invloed religie op moraal en cultuur: interculturele gelijkenissen, mythologie, sprookjes, volksverhalen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Identiteit,Politiek en overheid,Participatie,Recht,Filosofie,Religie en geloof"
cultuurwetenschappen,"Media, propaganda, persvrijheid, privacy, ethiek, filosofie, politiek, recht, relatie kunst en maatschappij, identiteit, diversiteit",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Economie,Recht,Filosofie,Media en communicatie,Politiek en overheid,Identiteit,Rolpatronen en stereotypen,Normen en waarden,Armoede en welvaart"
Duits,"Woordenschat, grammatica, Duitse cultuur, vaardigheden, literatuur",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Moderne talen,Literatuur,Toerisme"
ecologie,"Biotoop(studie), natuurgebieden, ecosystemen, vervuiling, verontreiniging, broeikas, verwoestijning, bedreigd regenwoud",Secundair onderwijs,Secundair 3de graad,"Milieu en ecologie,Land- en tuinbouw"
economie ,"Conjunctuur, inflatie, beurzen, belastingen, (internationale) handel, embargo's, omzet, ondernemen, innoveren",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad,Secundair 1ste graad","Economie,Bedrijfsbeheer,Omgaan met geld"
eigen cultuur en religie,"Yeshiva - God, Allah, Jahwe en de rest, godsdienst, zedenleer",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Religie en geloof
Engels ,"Woordenschat, grammatica, Angelsaksische cultuur, vaardigheden, literatuur",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Moderne talen,Literatuur,Toerisme"
esthetica,"Kunstvormen, functies kunst, kunstenaars, stijlstromingen, kunstkritiek, musea, veilingshuizen ...",Secundair onderwijs,Secundair 3de graad,"Beeldende kunsten,Podiumkunsten"
exploratie,"Steiner - onderzoeksvaardigheden, groepswerk, zelfreflectie, waarnemen, beschrijven, onderzoeken",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Leren en onderzoeken
filosofie,Filosofen - stromingen - zin van het leven - waarheid en kennis,Secundair onderwijs,Secundair 3de graad,Filosofie
Frans,"Woordenschat, grammatica, Franse cultuur, vaardigheden, literatuur","Secundair onderwijs,Lager onderwijs,Kleuteronderwijs","Lager 3de graad,Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Moderne talen,Literatuur,Toerisme"
fysica,"Snelheid, krachten, druk, energie, licht, golven, trilling, warmte",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Fysica
gedragswetenschappen,"opvoeding, kinderrechten, adolescentie, interactie, relaties, participatie, emancipatie, diversiteit",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Psychologie,Opvoeding en ontwikkeling,Identiteit,Normen en waarden,Rolpatronen en stereotypen"
